"","V1"
"62","Sagging room toilet door sagged and cannot close, was not fixed even on the day of check out.  Air-conditioner was not effective  Maids come to clean the room but did not replace fresh towels after removing the soiled one.  Taxis outside hotel are daylight robbers as they operate without meters.  I have to get hotel staff to book metered Golden bird or AA taxis and I have to board the taxis at the basement carpark as I was told these taxis cannot pick up passengers at the hotel driveway.  Buffet breakfast need improvement as the buffet spread looked unappetizing and lack choice. Service staff need more training to manage the guest "
"63","Room clean and comfortable, staff helpful"
"64","Bar ran out of draught beer and bottles of white wine"
"65","The hotel has a good location, staff are friendly and helpful. Only stayed one night the beds were comfortable and room was big. "
"66","The hotel has a good location, staff are friendly and helpful. Only stayed one night the beds were comfortable and room was big. "
"67","The front desk, concierge and housekeeping were great. I loved the breakfast. The hotel was accessible and I loved the garden."
"68","The wifi was below Starwood grade, in fact it is substandard even for room wifi that was complimentary for spg gold members. I chose wifi instead of points that was useless even when you added a wifi modem, the problem was the weak source. You have to keep up with the times. I came from Barcelona w hotel and what a difference when it comes to wifi, the fact that it is free will not cut it."
"69","The front desk, concierge and housekeeping were great. I loved the breakfast. The hotel was accessible and I loved the garden."
"70","The wifi was below Starwood grade, in fact it is substandard even for room wifi that was complimentary for spg gold members. I chose wifi instead of points that was useless even when you added a wifi modem, the problem was the weak source. You have to keep up with the times. I came from Barcelona w hotel and what a difference when it comes to wifi, the fact that it is free will not cut it."
"71","The hotel was great we were in the heart of the city and man that checked us in was fantastic he gave us lots of advice. The rooms were of a reasonable size good shower and very clean.What made it for us was the little pool and sun loungers up on the roof.All the staff were very friendly and always had a smile o the their face.Breakfast was good as they had everything you needed to start the day."
"72","Very cheap, clean rooms within a few hundred meters of a metro stop that could take you into central Shanghai."
"73","No internet in the room, only in the lobby.  When asked, the staff said it was broken.  No laundry facilities either.  There was a small dryer and a small dishwasher, but that didn't work out as something I was willing to wash clothes in.  The surrounding area is not nice but did not seem dangerous.  A few local restaurants and a Chinese Walmart will keep you going in between your trips to Shanghai.  I would stay in the French Concession or Bund if you can afford it.  If not, this is a clean, cheap place to stay."
"74","Very cheap, clean rooms within a few hundred meters of a metro stop that could take you into central Shanghai."
"75","No internet in the room, only in the lobby.  When asked, the staff said it was broken.  No laundry facilities either.  There was a small dryer and a small dishwasher, but that didn't work out as something I was willing to wash clothes in.  The surrounding area is not nice but did not seem dangerous.  A few local restaurants and a Chinese Walmart will keep you going in between your trips to Shanghai.  I would stay in the French Concession or Bund if you can afford it.  If not, this is a clean, cheap place to stay."
"76","The staff in the main restraunt (buffet) where always helpful and polite.  Sofia, who worked the on the grill in the mornings was always helpful, polite and a pleasure to talk with."
"77","The telephone was not working and we could not use room service or request assitance when the bathroom was flooding and our products ruined.  We had to call the front desk on our mobile phone.    "
"78","Beautiful decor, pleasant and helpful staff, great cocktails! "
"79","The hotel, look professional, comfortable and had a nice calm relaxing environment for everyone. the bedroom view was outstanding."
"80","The shower did not work in room 245  I did not eat, so why I have to mark?"
"81","Newly refurbished rooms to a high standard. Amenities were great aswell as cleanliness. Facilities in the room were great especially the 42"" tv and the rainfall shower, robes and slippers and excellent touch.   The breakfast which was included in our rate was top notch! Food was hot and plenty of choice, great  to start the day.  They even remembered it was one of the party's 60th birthday and surprised her with a complimentary bottle of £27 sparkling wine! An excellent touch!"
"82","Very helpful and friendly staff, warm atmosphere, fabulous continental breakfast especially the blueberry muffins! Room was clean with good facilities. We even got a free upgrade! Couldn't wish for a better hotel!"
"83","The sun loungers don't have adjustable reclining difficult when reading. "
"84","Staff very friendly and helpful - a credit to the hotel. Breakfasts were very good and plentiful. we had 2 evening meals which were also very good. Bedroom cleaned daily - sheets also changed daily.  The GHA experience was worth joining, providing a daily paper and free wifi which otherwise charged at 15euros per day!!  "
"85","Outdoor pool MUCH TOO COLD and disappointing that it is hardly used.  Our room was on the 6th floor and really could do with a refurbishment."
"86","The rooms were very clean. "
"87","Did not feel welcome at all as we had our 2 teenage boys with us, we felt watched all the time. Would never recommend anybody to this hotel.   The bolier in the breakfast area is dangerous, this hotel needs money spending on it to inprove."
"88","The hotel is beautifully positioned with views across a lovely bay.   Room was clean and well appointed.  Staff were extremely polite and attentive.    The cleaners were excellent with regular refreshes and a turn down service.   "
"89","We booked half board but were unable to enjoy the Sunday lunch buffet as it was fully booked.    This was a disappointment as I didn't expect to have to book a meal with a half board reservation.    "
"90","The hotel is beautifully positioned with views across a lovely bay.   Room was clean and well appointed.  Staff were extremely polite and attentive.    The cleaners were excellent with regular refreshes and a turn down service.   "
"91","We booked half board but were unable to enjoy the Sunday lunch buffet as it was fully booked.    This was a disappointment as I didn't expect to have to book a meal with a half board reservation.    "
"92","great stay, with seaview from balcony..apart from the large tree spoiling some of the view. "
"93","swimming pool changing room locker keys most did not work and needs to be more spacious and cleaner. parking needs to be more spacious for each bay..more tables for breakfast time and trays to put plates on as plates too hot."
"94","Dinner menu choice of only 2 mains courses disappointing"
"95","Dinner menu choice of only 2 mains courses disappointing"
"96","The hotel was amazing. Felt that the staff were professional, friendly and had a good understanding of the hotel. I would stay there again"
"97","I have no negative comments about the hotel, but I do about hotelopia. We called your call centre to look into if it was possible to change our booking, which copthorne had the room to do, but found the phone assistance from your corporation very abrupt, not at all helpful and  at one point we had to ask her to listen to what we were trying to ask as she didn't give us a chance to talk. I felt from her there no customer service at all. I will stay at the copthorne again and have recommended it to others but I will not use your wed site again or recommended it to others it will in fact be the opposite. "
"98","The hotel was amazing. Felt that the staff were professional, friendly and had a good understanding of the hotel. I would stay there again"
"99","I have no negative comments about the hotel, but I do about hotelopia. We called your call centre to look into if it was possible to change our booking, which copthorne had the room to do, but found the phone assistance from your corporation very abrupt, not at all helpful and  at one point we had to ask her to listen to what we were trying to ask as she didn't give us a chance to talk. I felt from her there no customer service at all. I will stay at the copthorne again and have recommended it to others but I will not use your wed site again or recommended it to others it will in fact be the opposite. "
"100","The room itself was spartan but clean and the air con worked well. There were no blankets, however, and although the manageress said she'd switched on our cooker and fridge from reception, they did not work. When we tried to remedy this the next morning and also get the WiFi key, we found the office closed. The manageress finally opened up at 11am, her excuse was that she opened so late because she had a headache.   In summary, a nice place in an excellent location, spoiled by poor management. Thank goodness we got such a good deal from Hotelopia, it's not worth paying the full rate - 90 Euro - to stay there."
"101","For the less than 50 euro’s per night it’s a very good deal (value for money)"
"102","The hotel is located between the airport and the city. If you go early in the morning or late afternoon to the center, then it takes you at least 30 minutes to get to there."
"103","Nice poolarea whith sunbeds . Cleen rooms, free wifi near lobby, lovley wive from the pool. Quiet at night."
"104","Friendly staff, nice view, clean, at walkdistance to Biograd."
"105","Great location by harbour, great staff. free secure car park. lovely pool. Free wi-fi in reception. "
"106","One end of the hotel is very close to a roundabout and a road runs behind as well. There can be traffic noise because of this, I found weekends worse as there were more noisey motorbikes.  Some of the hotels room furnishings are a bit worn out. Self catering facilities fairly basic (but all clean).  Don't let this put you off, for the price this is a very good hotel and without exception the staff are all lovely.  "
"107","I was very disappointed. Upon entering the hotel no one was there togreet us, never mind help us with our bags. The rooms were very dated, smelt very musty and the chair in our first room was torn. I phoned reception to complain and waited for twelve minutes but no one picked up. Evenjtuly I went downstairs to complain.  After waiting ten minuss to see the manager i witnessed that no one else was greeted or helped with their bags either, including a man with disqbility. We were shown to another room which wasn't too much of an improvement on the first.   For the price we paid I was shocked at the standard of the service and the rooms. "
"108","The nicest staff I ever met in a hotel"
"109","A lot of facilities. Good information and help at the reception. Very usefull that gasts can book a trip at the reception. Good information for trips in many languages. Friendly staff of all people working in the hotel. Very good food for a reasonable price. Good service in the dinningroom, good and quick technical service. Very quick respons after our message that the tv was not working in the room. Warm water in the swimmingpool. Enough sunbeds and place around the swimmingpool. Large appartments with good equipment, a large bathroom and balcony. Always warm and enough water in the shower in the appartment. A hairdrier and safety box in the appartment. Free internet all over the hotel! "
"110","The only important thing we can mention is that it is a pitty that the bedroom in the appartments is located just next to the corridor. This can be very disturbing late in the evening, when people are walking and talking through the corridor. Another negative thing is that there is no window which can be opened in the bedroom. We are used to sleep with open window. After the first night with disturbance, we moved our beds to the livingroom / kitchen, which was a good sollution! So we had a good sleep after all during the rest of our holliday.   A less important complaint is that you have to pay 1 euro to use the scale to weight your luggage. This should be free. The weight from the same luggage was not the same at the airport, so it did not help us much to use the scale.   The instruction (in signs) to use the safety-box was not clear, since we could not mannage to close the box. It would be helpfull to have an extra written instruction.   "
"111","The apartement was nice and big with lots of light. It also had a nice view of th garden, even though it was located one floor below  street level. We felt imediatly at home there. We would stay there again."
"112","Some of the furniture (kitchen) was a little worn, but still working fine. While the rooms were generaly clean there were some places the cleaning staff obviously missed (between sofa and chair coushins, under the sink). The facilitys were all right. Unfortunatly the shower only dispenses cold or slightly warm water. The radiators only seemed to function randomly so the appartment was a little cold.   All these points didn't bother us too much, since we only stayed 3 days. We didn't mention any of this to the staff either. For a longer stay this might have been more of a problem."
"113","Hotel smart and tidy and well run. The pool is a added bonus and very clean and staff very helpfull.rayd"
"114","No view, surroundings are not very smart. No outside space for drinking and relaxing in the sunshine."
"115","Final tax de jour and parking added on booking out (30 Euros). This was not made clear early in booking process."
"116","The activities, food and hotel were amazing and I would highly recommend it to anyone. The quality of the food and the choice was excellent. There was a great and amazing selection. The animation team were great! The room were spacious, the set up of the hotel was amazing..."
"117","The staff need to highlight the fact that the hotel is far away from the city center, there is a shuttle alright but it only brings to the Jmal Ef Fnaa place. The cost of taxi fare is 18eur a go. The hotel reception staff were friendly but not really professional. Each time we asked a question the information was uncertain or confused. We asked for room service and we had to wait 1h to get the food which arrived cold. We were told to be patient...as we rang twice to find out what was the status of the order, that was 45 min after we've ordered.... Also the cost of the food is expensive if you don't go all inclusive. The buffet cost needs be mentioned to guests when booking B"
"118","Beautiful hotel ,fab food and lovely staff"
"119","Fully deserves all its previous good reviews and more. Service was impeccable. General manager Andreas always around and very accessible and helpful.  Food very good and plenty of it, buffet menu had a different theme each night."
"120","No real negatives for us.  Some guests may not like the cats, there are a lot about the hotel."
"121","The staff were very friendly and helpful from the moment we arrived and throughout our stay. The hotel was in a very peaceful location and had a lovely large swimming pool and outdoor cinema. The buffet breakfast and dinner was very good with a large selection of food to choose from."
"122","The hotel could have done with a variation of evening entertainment. It only had a couple of beach bars in walking distance no town near by so needed to hire a car or get a taxi. "
"123","Staff knowledge of local restaurants. Directed to not particularly nice area with no family  places to eat which was what we asked for."
"124","tasty food, sensational chef"
"125","unpleasant and waiting for tipping service  small, cramped rooms, no rooms with a single bed  "
"126","Friendly stuff, great animation team ,theatrical good. Amazing breakfast, good fruits,salads, everything  The stuff take care of you all the time."
"127","the breakfast just simple, not grand at all."
"128","Staff were great very friendly and helpful. Great location near to all the nightlife."
"129","Beware the prostitutes/pickpockets on the corner by buddies bar. They surrounded my friend and by the time he realised what was going on they had stolen his gold chain from around his neck. I know this is not the fault of the hotel but I would not stay there again for this reason."
"130","This hotel was very good considering the Price. I was very please with my comfy bed and the location.  Extremely quite and signs everywhere asking for quite after 11pm.   The restaurants were very reasonable and the Japanese restaurant was excellent.  The staff in fantastic. Young pleasant and full of fun. Loved there attitude. Went out of there  to make life easy. Exceptional. Thank you."
"131","I only have one and that goes for all hotels.   Wish there was rooms for a single traveler. We pay for two for everything.  I wonder if there is any  you can divide bedrooms so a bathroom can be shared by tow single.??"
"132","Overall very clean room, good facilities with gym and swimming pool."
"133","Detect some cockroach at kitchen area. No free wifi."
"134","Very friendly staff, extremly helpful with any questions, reservations etc. the rooms are big and modern, only the traffic smell from the man road is a little disturbing if you want to one the window. Overall, very good!"
"135","The overall presentation and location of the hotel was excellent.  The staff was very friendly and helpful.  The pools and slides were wonderful but crowded.  Shuttles were convenient and helpful.  "
"136","We were unimpressed by the on site restaurant choices and dined at other locations.  There were no late night food choices at the bar other than an over priced Round Table pizza that I would have had to wait until it was delivered from across the street.  There was a large gap at the bottom of our room door that we covered each evening with towels to keep the light and noise out.  We had late night noise issues outside of our room with loud music and talking on two out of our six night stay.  Staff addressed it when we made a call to the front desk. It would have been nicer if the slides were open for longer periods of time for our children to enjoy.  We had to go to another hotel to pickup and drop off our Dollar rental car. Hawaii's inflated prices for most everything drained our entertainment budget."
"137","Had booked hotel through hotelopia and had paperwork to show booking and payment. Arrived at 11:00 P.M. Staff on hand did not have anything indicating that I had payed and previously and would not accept my paperwork. They indicated to me that hotelopia had not sent them anything though I had a reservation but it showed it had not been payed. They asked for my card and said they would call Hotelopia to confirm my payment. When I checked out they had not called anyone and had charged me 52.00 for the nights stay. I told her the story from the night before and she could not confirm my payment either. So when we got home our records showed we had indeed payed for the room at time of booking with Hotelopia. So now we start the process to get my card credited. This is the   second time this has happened to us. Last time it was at Red Roof Inn. I would like to see these hotels be more diligent in there communications with these hotel sites to receive confirmation of payment as well as reservation."
"138","EXCELLENT!!! Beautiful immaculate hotel, they upgraded us to a 4 bedroom suite due to birthday from one of us,which was SPECTACULAR! Lots of attention and courtesy from all staff since we arrived till we left. This hotel is not your usual Ramada, this is a luxurious property in an excellent location on JBRWalk and Dubai Marina. and a block from beach. They gave us 3 free alcohol drinks vouchers at arrival! Will definitely stay here again and again! Hotelopia had the best nightly rate including half board that can't be beat by any hotel close by in this area in Dubai. Definitely a plus to include the excellent buffet bkfast/dinner, which by the  were tasty and a lot of variety well prepared delicious food. Short 10-15 minute walk to Jumeirah Lakesmetro station and gorgeous view of the Marina on the  to the metro station. Overall this hotel is excellent for the location, price, courteous staff and all the pampering since you arrive. Loved it and will definitely will return again."
"139","The only negative is that we were on a rental car and the drop off was at the hotel, which we can't find were the Dollar Car rental drop off was, and asked and they say inside the multilevel underground parking, but no signs or anything to direct you to Dollar Rent a Car, which after 20 minutes driving in circle inside the parking, I found out that is in front of the parking hotel entrance (no Dollar rent a car sign of any kind). and the car rental desk is inside the Ramada hotel. I guess this is not a Ramada hotel but the car rental to blame. I told the Dollar car rental representative about it, and he just said that everybody said the same thing! I told him well, you should put some signs or fix it for future travellers. He looked at me like he didn't care or any response at all. Other than this, this hotel is excellent! "
"140","The staff are so nice make you feel very welcome room ok only stop one night when traveling from france to Spain but have stopped 3 times now have just booked again"
"141","The new building were we stayed was very nice and clean. Close to the private beach.  The pool was superb, and also very clean.  Quiet surroundings made it a perfect place for a relaxing vacation."
"142","The variety of the buffet food could have been better.  Only one night a week with live dancing music was disapointing. ( Yes i know about the disco, but it was not appealing to others than teenagers.)  "
"143","GORGEOUS!!!  This is not your usual Holiday Inn hotel. Is fabulous!!! Excellent courteous attention since you arrive till you depart. Great soft sandy beach with Dead sea mud buckets for guests use. Great staff on front desk, golf carts, pools and beach. The views are SPECTACULAR! Such a peaceful and awesome place! The hotel pools are beautiful and so clean. The landscaping is beautiful as well. The drinks a little pricey but I guess that's everywhere on resorts like this in the area. Very Nice to have free complimentary soft drinks on the room fridge. We felt so welcome all the time and staff were super friendly all over the hotel. The room overlooked the pool and had a nice balcony with chairs and table. Bed was very comfortable and cold A/C. The breakfast buffet was simply AWESOME and TASTY!!! We didn't have dinner but had a delicious burger at the Chili Ways restaurant. Is like a fast food burger place, but better and delicious and not expensive. Just 5 minute up the hill from Holiday Inn hotel Dead Sea. Overall this hotel is great, sandy beach, sparkling pools, gorgeous views from rooms and the Dead Sea and is the first hotel on your right after check point on service road. Excellent hotel!"
"144","Pricey drinks but I guess that's all over Jordan with alcohol drinks. We had a glass of wine one evening by the pool and I can say that it didn't taste like a good quality wine, and they poured less than half the glass with wine.   Other than the drinks, the hotel is gorgeous and the best price/quality compared to nearby hotels."
"145","From the moment we arrived we were made to feel special. The staff were so friendly, welcoming and helpful. I have stayed in 5 star hotels in London that were luxurious but the warm friendly atmosphere was nothing like what was present here. The spa was superb and the room fantastic the attention to detail and cleanliness second to none. As Arnie said ""I'll be back""!!!"
"146","the only thing that i think was negative was that we had to pay the parking and also the internet and these services weren't specified to  be paid on the hotel website!!"
"147","Time to renovation and renew all the furniture and bedding,it was to old and dirty."
"148","Location is great ski in "
"149","Great for families with young kids."
"150","Nothing about the hotel itself, but the Thomas cook reps/entertainment was too loud and constant."
"151","Our room was very spacious and comfortable. The hotel was situated in a good spot. We would have no quarms in recommending this hotel to friends and family."
"152","Staff have excellent manners. Very good scenery and decor, though it's quite old"
"153","The toilet door chipping at the bottom. The sink gets choked as the lever unable to push up the sink stopper. We had booked a taxi upon departure at 1.30pm at $30 to berjaya times square. A staff called us at 1pm to go down immediately saying its better we take this taxi which charges by meter. But in the end the taxi fare was $47 as it was six seater ,and it goes on highway all the  from the mines to berjaya times square. We felt cheated."
"154","very pleasant people, a large pool, direct output to the beach, clean rooms, no experience"
"155","Good location. Place was clean. Staff were friendly and helpful."
"156","The booking was with english breakfast but the hotel thought we were only entitled to continental.  They did give us the english breakfast once we proved it."
"157","Holiday too few feeder bus service, only one class.  Business hotel, did not provide sanitary products is hard to accept.  Poor sound insulation of the room! Result in poor sleep quality, sleep."
"158","Staff are all helpful, pleasant and friendly. We had a great expeience at breakfast room where they are so friendly and it made the start of the day very pleasant. Nicson james, faroq, alex, leonard, made extra effort to make us feel very welcomed! The staff from downstairs entrance always help us with our travel queries with good attitude and smiles. Something we rarely saw in UK."
"159","There should be a separate shower room rather than shower on bath. The tour company based on hotel (desert dream) is not good. We had very bad experience with desert safari with them. No air cond in car. Driver is not safe. 2 near miss accidents on highway. Tried to squeeze in as many people as possible in car with cheap rates once they got our booking earlier in week with high price and we ended up squezing in the very back of the car despite paying more than others. Hotel should consider whether they should give them a desk in lobby  and let them monopolize the guests when there are many tour companies out there."
"160","Orange juice a bit yukky at breakfast and was not over impressed with the reception staff but they were okay."
"161","Great location, nice sea terrace, lovely views from main hotel. "
"162","Some of the waiters/ bar staff had surley attitude. Appartments were not as pictured on internet. Limited evening entertainment. Ice creams for children not included during the day and prices inflated for purchase of goods and services in the hotel."
"163","Excellent location, facilities and staff.  New management   can do real miracles!"
"164","Very good position, easy walking into the centre, near lovely parks and the river"
"165","approachable friendly staff"
"166","The room was fantastic. Large and luxurious. The bathroom was also very big and everything worked well. The staff were friendly and courteous. Good value hotel, well located."
"167","The breakfast could be better."
"168","The staff were really helpful and friendly and the apartments are very well thought out, providing everything that you could need. "
"169","Some of the friendliest happiest staff I've come across in a hotel. Evening Entertainment needs improving to appeal to families. Children bored in the evening. Very good range of drinks on offer for both adults and children. Information missing on check in (booking of hotel bus, sports facilities, what the all inclusive program includes) would have benefitted from a more detailed information booklet. Would consider a future stay and would be encouraged by any repeat visitor offers/discounts. "
"170","Room not clean in arrival. Other peoples personal hair all over the bathroom. Made me uncomfortable in the room and I need to clean all the floors myself before I was happy to walk on them. Other than that, although basic the rooms were large and comfortable if a little cold in the evenings. The only negative I can think if is that the football pitch, an excellent facility and one of the reasons I booked the resort (my 14 yr old is football mad) was locked unless the entertainment team were present. A complete waste of an excellent facility which would keep teen boys occupied for most of the day."
"171","apartment was lovely clean was in good location very happy with my stay would return"
"172","prices for items inside the hotel too expensive. For example one espresso at the coffe shop 03.29 JOD"
